year,AFG,ALB,ALG,ANG,ARG,ARM,AUL,AUS,AZE,BAD,BAH,BAV,BEL,BEN,BFO,BHU,BLR,BNG,BOL,BOS,BOT,BRA,BUI,BUL,CAM,CAN,CAO,CAP,CEN,CHA,CHL,CHN,COL,COM,CON,COS,CRO,CUB,CYP,CZE,CZR,DEN,DJI,DOM,DRV,ECU,EGY,EQG,ERI,EST,ETH,ETI,ETM,FIN,FJI,FRN,GAB,GAM,GCL,GDR,GFR,GHA,GMY,GNB,GRC,GRG,GUA,GUI,GUY,HAI,HON,HUN,IND,INS,IRE,IRN,IRQ,ISR,ITA,IVO,JAM,JOR,JPN,KEN,KOR,KOS,KUW,KYR,KZK,LAO,LAT,LBR,LEB,LES,LIB,LIT,LUX,MAA,MAC,MAG,MAL,MAS,MAW,MEX,MLD,MLI,MNT,MOD,MON,MOR,MYA,MZM,NAM,NEP,NEW,NIC,NIG,NIR,NOR,NTH,OFS,OMA,PAK,PAN,PAP,PAR,PER,PHI,PKS,PMA,PNG,POL,POR,PRK,QAT,ROK,RUM,RUS,RVN,RWA,SAF,SAL,SAR,SAU,SAX,SDN,SEN,SER,SIC,SIE,SIN,SLO,SLV,SOL,SOM,SPN,SRI,SSU,SUD,SUR,SWA,SWD,SWZ,SYR,TAJ,TAW,TAZ,THI,TKM,TOG,TRI,TUN,TUR,TUS,UAE,UGA,UKG,UKR,UPC,URU,USA,USR,UZB,VEN,VIE,WRT,YAR,YEM,YGS,YPR,YUG,ZAI,ZAM,ZIM
1832,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-5,NA,NA,NA,-10,NA,-4,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,5,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1833,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-10,NA,-3,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,5,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1834,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-10,NA,-3,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,5,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1835,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-10,NA,-3,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-3,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1836,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-10,NA,-3,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-3,NA,NA,-10,NA,NA,1,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1837,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-10,NA,-3,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-3,NA,NA,-10,NA,NA,1,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1838,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,-3,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-10,NA,-3,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-3,NA,NA,-10,NA,NA,1,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1839,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,-3,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-10,NA,-3,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,1,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1840,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-8,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,-3,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-3,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,1,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-8,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1841,-6,NA,NA,NA,-5,NA,NA,-10,NA,-4,NA,-8,-4,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-3,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,1,NA,NA,NA,NA,-10,NA,NA,NA,-1,-10,NA,-8,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1842,-6,NA,NA,NA,-5,NA,NA,-10,NA,-4,NA,-8,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-3,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-10,NA,-8,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1843,-6,NA,NA,NA,-5,NA,NA,-10,NA,-4,NA,-8,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-3,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-10,NA,-8,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1844,-6,NA,NA,NA,-5,NA,NA,-10,NA,-4,NA,-8,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-4,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-10,NA,-8,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1845,-6,NA,NA,NA,-5,NA,NA,-10,NA,-4,NA,-8,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-4,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-10,NA,-9,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,10,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1846,-6,NA,NA,NA,-5,NA,NA,-10,NA,-4,NA,-8,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-4,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-10,NA,-9,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,10,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1847,-6,NA,NA,NA,-5,NA,NA,-10,NA,-4,NA,-8,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-9,NA,-4,NA,-3,NA,NA,-3,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-7,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-10,NA,-9,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,10,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1848,-6,NA,NA,NA,-5,NA,NA,-6,NA,-7,NA,-7,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,-9,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,-8,NA,-4,NA,-3,NA,NA,-3,0,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-4,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-7,NA,NA,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-7,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-7,NA,NA,3,NA,NA,-3,10,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1849,-6,NA,NA,NA,-5,NA,NA,-6,NA,-7,NA,-7,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,-8,NA,-4,NA,-3,NA,NA,-3,0,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-3,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-7,NA,-7,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-7,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,10,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1850,-6,NA,NA,NA,-5,NA,NA,-6,NA,-7,NA,-7,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,-8,NA,-4,NA,-1,NA,NA,-3,0,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-3,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-7,NA,-7,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-7,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1851,-6,NA,NA,NA,-5,NA,NA,-6,NA,-7,NA,-7,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-8,NA,-4,NA,-1,NA,NA,-3,0,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-3,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-7,NA,-7,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,-7,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1852,-6,NA,NA,NA,-4,NA,NA,-6,NA,-7,NA,-7,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-8,NA,-4,NA,-1,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-3,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-7,NA,-7,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,-7,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1853,-6,NA,NA,NA,-3,NA,NA,-6,NA,-7,NA,-7,6,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,-3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-8,NA,-4,NA,-1,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,-10,NA,-6,NA,NA,NA,-3,NA,-5,NA,NA,-7,-3,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-4,NA,NA,NA,NA,-10,NA,NA,NA,-1,-7,NA,-7,NA,NA,2,-10,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,-7,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,3,NA,NA,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
