year,AFG,ALB,ALG,ANG,ARG,ARM,AUL,AUS,AZE,BAD,BAH,BAV,BEL,BEN,BFO,BHU,BLR,BNG,BOL,BOS,BOT,BRA,BUI,BUL,CAM,CAN,CAO,CAP,CEN,CHA,CHL,CHN,COL,COM,CON,COS,CRO,CUB,CYP,CZE,CZR,DEN,DJI,DOM,DRV,ECU,EGY,EQG,ERI,EST,ETH,ETI,ETM,FIN,FJI,FRN,GAB,GAM,GCL,GDR,GFR,GHA,GMY,GNB,GRC,GRG,GUA,GUI,GUY,HAI,HON,HUN,IND,INS,IRE,IRN,IRQ,ISR,ITA,IVO,JAM,JOR,JPN,KEN,KOR,KOS,KUW,KYR,KZK,LAO,LAT,LBR,LEB,LES,LIB,LIT,LUX,MAA,MAC,MAG,MAL,MAS,MAW,MEX,MLD,MLI,MNT,MOD,MON,MOR,MYA,MZM,NAM,NEP,NEW,NIC,NIG,NIR,NOR,NTH,OFS,OMA,PAK,PAN,PAP,PAR,PER,PHI,PKS,PMA,PNG,POL,POR,PRK,QAT,ROK,RUM,RUS,RVN,RWA,SAF,SAL,SAR,SAU,SAX,SDN,SEN,SER,SIC,SIE,SIN,SLO,SLV,SOL,SOM,SPN,SRI,SSU,SUD,SUR,SWA,SWD,SWZ,SYR,TAJ,TAW,TAZ,THI,TKM,TOG,TRI,TUN,TUR,TUS,UAE,UGA,UKG,UKR,UPC,URU,USA,USR,UZB,VEN,VIE,WRT,YAR,YEM,YGS,YPR,YUG,ZAI,ZAM,ZIM
1912,-6,NA,NA,NA,2,NA,10,-4,NA,NA,NA,NA,6,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-9,NA,9,NA,NA,NA,NA,3,2,-5,NA,NA,10,NA,3,NA,NA,NA,7,NA,-3,NA,-3,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,10,NA,-9,NA,NA,-3,NA,-4,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-6,NA,NA,NA,-3,10,-3,NA,NA,10,-2,NA,-6,NA,-3,NA,-3,2,NA,NA,NA,NA,NA,7,NA,NA,NA,-4,-6,NA,NA,4,-6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,4,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-1,NA,NA,NA,8,NA,NA,2,10,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,-6,NA,NA,NA,2,NA,10,-4,NA,NA,NA,NA,7,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,NA,NA,9,NA,NA,NA,NA,3,-2,-5,NA,NA,10,NA,3,NA,NA,NA,8,NA,-3,NA,-3,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,10,NA,-9,NA,NA,-3,5,-4,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,-2,NA,-6,NA,-3,NA,-3,2,NA,NA,NA,NA,NA,7,NA,NA,NA,-4,-6,NA,NA,4,-6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-1,NA,NA,NA,8,NA,NA,2,10,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,-6,-2,NA,NA,2,NA,10,-4,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-9,NA,9,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,NA,NA,9,NA,NA,NA,-3,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,10,NA,-9,NA,NA,-3,5,-4,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,-2,NA,-6,NA,-3,NA,-3,2,NA,NA,NA,NA,NA,7,NA,NA,NA,-4,-6,NA,NA,4,-6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-1,NA,NA,NA,8,NA,NA,2,10,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,-6,0,NA,NA,2,NA,10,-4,NA,NA,NA,NA,7,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-9,NA,9,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,NA,NA,10,NA,NA,NA,-3,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,1,NA,-9,NA,NA,NA,5,-4,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,-2,NA,-6,NA,-3,NA,-3,2,NA,NA,NA,NA,NA,7,NA,NA,NA,-4,-6,NA,NA,4,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-1,NA,NA,NA,8,NA,NA,2,10,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,-6,0,NA,NA,2,NA,10,-4,NA,NA,NA,NA,7,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-9,NA,9,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,NA,NA,10,NA,NA,NA,-3,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,-9,NA,NA,NA,5,-4,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,-2,NA,-6,NA,-3,NA,-3,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,-6,NA,NA,4,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-1,NA,NA,NA,8,NA,NA,2,10,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,-6,0,NA,NA,2,NA,10,-4,NA,NA,NA,NA,7,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-9,NA,9,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,NA,NA,10,NA,NA,NA,-3,NA,NA,NA,8,4,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,-9,NA,NA,NA,5,-4,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,10,NA,-6,NA,-3,NA,-3,2,NA,NA,NA,NA,NA,7,NA,NA,NA,-4,-1,NA,NA,4,-6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,-1,NA,NA,NA,8,NA,NA,2,10,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,-6,0,NA,NA,2,NA,10,0,NA,NA,NA,NA,7,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,2,NA,9,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,7,NA,10,NA,NA,NA,-3,NA,NA,NA,NA,4,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,-9,NA,NA,2,5,-6,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,10,NA,-6,NA,-3,NA,-3,2,NA,NA,NA,NA,8,7,NA,NA,NA,-4,-1,NA,NA,4,-6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,2,10,NA,NA,-6,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA
1919,-6,0,NA,NA,2,NA,10,4,NA,NA,NA,NA,9,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-3,NA,9,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,7,NA,10,NA,NA,NA,-3,NA,NA,NA,10,4,NA,NA,10,NA,9,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,-9,NA,NA,2,NA,-7,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,10,NA,-6,NA,-3,NA,-3,-4,NA,NA,NA,NA,8,7,NA,NA,NA,-4,-1,NA,NA,4,-6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,10,NA,NA,-6,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA
1920,-6,0,NA,NA,2,NA,10,8,NA,NA,NA,NA,9,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-3,NA,9,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,7,NA,10,NA,NA,NA,-3,NA,NA,NA,10,4,NA,NA,10,NA,9,NA,NA,NA,NA,NA,NA,6,NA,1,NA,-9,NA,NA,2,5,-1,NA,NA,NA,0,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,-6,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,10,NA,-6,NA,-3,NA,-3,-9,NA,NA,NA,NA,8,7,NA,NA,NA,-4,-1,NA,NA,4,-6,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,10,NA,NA,-9,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA
1921,-6,0,NA,NA,2,NA,10,8,NA,NA,NA,NA,9,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-3,NA,10,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,7,NA,10,NA,NA,NA,-3,NA,NA,NA,10,4,NA,NA,10,NA,9,NA,NA,NA,NA,NA,NA,6,NA,1,NA,2,NA,NA,2,5,-1,NA,NA,8,-1,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,-6,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,10,NA,-6,NA,-3,NA,-3,-9,NA,NA,NA,NA,8,7,NA,NA,NA,-4,-1,NA,NA,4,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,10,NA,NA,-9,NA,NA,-10,NA,NA,NA,0,NA,NA,NA
1922,-6,0,NA,NA,2,NA,10,8,NA,NA,NA,NA,9,NA,NA,-10,NA,NA,2,NA,NA,-3,NA,-3,NA,10,NA,NA,NA,NA,3,-5,-5,NA,NA,10,NA,3,NA,7,NA,10,NA,NA,NA,-3,4,NA,NA,10,4,NA,NA,10,NA,9,NA,NA,NA,NA,NA,NA,6,NA,0,NA,2,NA,NA,2,5,-1,NA,NA,8,-3,NA,NA,-2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,-6,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,-3,NA,NA,10,10,NA,-6,NA,-3,NA,-3,-9,NA,NA,NA,NA,8,7,NA,NA,NA,-4,-1,NA,NA,4,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,-10,NA,NA,NA,NA,0,NA,NA,NA,10,NA,NA,3,10,-7,NA,-9,NA,NA,-10,NA,NA,NA,0,NA,NA,NA
